,CUDI_REPRO,CULT_REPRO,CUNO_REPRO,GRLT,GRWD,GRWT100,HDG_80HEAD,LIGLT,LLT,LWD,PLT_POST,SDHT,country,region,subespecie
IRIS_313.10662,5.0,118.0,33.0,8.3,3.3,2.6,67.0,19.0,67.0,1.3,26.0,42.0,Sri_Lanka,SAS,IND
IRIS_313.9800,6.0,88.0,10.0,8.5,3.6,2.9,93.0,18.0,60.0,1.5,27.0,29.0,Japan,EAS,JAP
IRIS_313.10574,6.0,145.0,25.0,8.2,3.3,2.3,158.0,29.0,74.0,1.2,29.0,31.0,Sierra_Leone,AFR,IND
IRIS_313.7933,3.0,70.0,17.0,7.6,3.4,2.8,68.0,11.0,40.0,1.3,21.0,32.0,Nepal,SAS,ADM
IRIS_313.11113,5.0,133.0,13.0,9.3,3.4,2.8,103.0,23.0,67.0,1.5,28.0,45.0,Bangladesh,SAS,IND
IRIS_313.10973,5.0,141.0,11.0,8.3,3.3,2.6,98.0,28.0,60.0,1.4,30.0,29.0,Bangladesh,SAS,IND
IRIS_313.11115,5.0,140.0,15.0,8.2,3.6,2.2,120.0,29.0,60.0,1.7,24.0,33.0,Bangladesh,SAS,IND
IRIS_313.9391,4.0,121.0,16.0,8.2,3.2,3.2,127.0,19.0,58.0,1.4,23.0,27.0,Bangladesh,SAS,IND
IRIS_313.11324,4.8,111.0,18.0,7.6,3.2,2.7,74.0,14.0,44.8,1.0,27.0,36.0,Bangladesh,SAS,AUS
IRIS_313.11097,5.0,77.0,14.0,7.4,3.3,1.7,85.0,21.0,60.0,1.5,24.0,40.0,Philippines,SEA,IND
IRIS_313.11131,3.0,113.0,22.0,8.5,3.7,3.1,75.0,27.0,56.0,1.1,23.0,38.0,Myanmar,SEA,IND
IRIS_313.11132,5.0,148.0,16.0,8.1,3.4,2.6,104.0,19.0,61.0,1.7,26.0,32.0,Myanmar,SEA,IND
IRIS_313.10537,5.0,120.0,25.0,7.3,3.3,2.1,131.0,37.0,65.0,1.3,25.0,18.0,Bangladesh,SAS,ARO
IRIS_313.10025,5.0,107.0,19.0,7.7,3.3,1.7,81.0,9.0,36.0,1.1,22.0,37.0,Madagascar,AFR,ADM
IRIS_313.9626,4.0,112.0,18.0,8.9,3.1,2.4,77.0,22.0,55.0,1.1,19.0,50.0,Bangladesh,SAS,AUS
IRIS_313.11742,4.0,66.0,20.0,7.7,2.8,2.3,72.0,9.0,36.0,0.9,18.0,40.0,India,SAS,AUS
IRIS_313.11067,4.0,131.0,21.0,8.3,3.1,2.7,68.0,13.0,55.0,1.0,22.0,47.0,Bangladesh,SAS,AUS
